item_class_code,item_class_name,group,erp_item_type,inventory_phase,stocked,lot_tracked,expiry_tracked,qc_required,used_in_bom,produced_by_bom,default_uom_hint,examples,assumption_audit,implementation_notes
CULTURES,Cultures,Biological inventory,Biological input,Lab,true,true,true,true,true,true,each/ml,Agar plates; liquid culture; slants; culture syringes,Good class; keep separate from general materials because strain identity and generation history matter,Create items by species/strain and format when traceability matters
CULTURE_MEDIA_RAW_MATERIALS,Culture media raw materials,Raw materials,Raw material,Lab,true,true,true,true,true,false,g/ml,Agar; light malt extract; dextrose; yeast extract; peptone,Missing from original list; these are not substrate materials and should have their own purchasing/QC defaults,Use in culture media BOMs and lab prep formulas
LAB_CONSUMABLES,Lab consumables,Supplies,Consumable supply,Lab,true,false,true,false,true,false,each,Petri dishes; syringes; needles; scalpel blades; parafilm; gloves; alcohol wipes,Missing from original list; decide which are true inventory versus expensed shop supplies,Track only higher-value or stockout-critical consumables in ERP
SPAWN_RAW_MATERIALS,Spawn raw materials,Raw materials,Raw material,Spawn,true,true,true,true,true,false,kg,Rye; millet; sorghum; wheat; calcium carbonate; gypsum,Missing as a separate class; grain for spawn has different BOMs and controls than bulk substrate,Use for master spawn and production spawn formulas
MASTER_SPAWN,Master spawn,Biological inventory,Produced intermediate,Spawn,true,true,true,true,true,true,kg/jar/bag,Grain master; sawdust master,Good assumption; masters should be separate from production spawn because they are used for expansion and have stricter generation/use controls,Track generation passage parent culture and use-by date
PRODUCTION_SPAWN,Production spawn,Biological inventory,Produced intermediate,Spawn,true,true,true,true,true,true,kg/bag,Grain spawn; sawdust spawn; plug spawn,Original spawn class is valid but should be named clearly so it does not include masters,Use as component in inoculated substrate BOMs
SUBSTRATE_RAW_MATERIALS,Substrate raw materials,Raw materials,Raw material,Substrate prep,true,true,true,true,true,false,kg,Lime; hardwood sawdust; soy hulls; straw; bran; gypsum; water,Good class; include water only if the ERP will use it for formulas costing or moisture balance,Separate food-grade and non-food-grade inputs if applicable
CULTIVATION_PACKAGING_COMPONENTS,Cultivation packaging components,Packaging,Packaging component,Substrate prep,true,true,false,true,true,false,each,Unicorn grow bags; filter patches; collars; plugs,Original packaging raw materials example fits here better than finished product packaging,Use in sterilized substrate and fruiting block BOMs
STERILIZED_SUBSTRATE,Sterilized substrate,Work in process,Produced WIP,Substrate prep,true,true,true,true,true,true,kg/bag,Sterilized sawdust blocks; sterilized grain bags,Good class if inventory is held between sterilization and inoculation; otherwise it can be just an operation output,Track sterilization cycle equipment load and release status
INOCULATED_SUBSTRATE,Inoculated substrate,Work in process,Produced WIP,Incubation,true,true,true,true,true,true,kg/bag,Inoculated sawdust blocks; inoculated grain bags,Good class but define the boundary from sterilized substrate and fruiting blocks,Track inoculation date spawn lot and expected incubation window
FRUITING_BLOCKS,Fruiting blocks,Work in process,Produced WIP,Fruiting,true,true,true,true,false,true,each,Colonized shiitake block; lion's mane fruiting block,Original mushroom fruiting blocks class is valid; use fruiting block as the item class name,Move from inoculated substrate when blocks enter fruiting or are released to fruiting inventory
HARVESTED_MUSHROOMS_FRESH,Harvested mushrooms - fresh,Finished or intermediate goods,Fresh biological product,Harvest,true,true,true,true,true,true,lb/kg,Fresh lion's mane; fresh oyster; fresh shiitake,Good class; fresh mushrooms can be both sellable finished goods and inputs to processing,Use grade size harvest date and storage condition attributes
PROCESSING_GRADE_MUSHROOMS,Processing-grade mushrooms and trim,Intermediate goods,Fresh biological product,Processing,true,true,true,true,true,true,lb/kg,Trim; seconds; unsold fresh mushrooms for drying,Missing from original list; this prevents usable trim and seconds from disappearing into waste,Use for powders extracts compost decisions and yield analysis
DRIED_MUSHROOMS,Dried mushrooms,Intermediate or finished goods,Processed mushroom ingredient,Processing,true,true,true,true,true,true,lb/kg,Dried slices; dried whole fruiting bodies,Missing if powders are made from an intermediate drying step,Use as input to milling powder or as sellable dried product
MUSHROOM_POWDERS,Mushroom powders,Intermediate or finished goods,Processed mushroom ingredient,Processing,true,true,true,true,true,true,g/kg,Lion's mane powder; reishi powder; blend powder,Good class but decide item-by-item whether each powder is sold directly or used in later formulas,Track mesh size species part and processing lot
EXTRACTS_AND_PROCESS_INTERMEDIATES,Extracts and process intermediates,Intermediate goods,Processed ingredient,Processing,true,true,true,true,true,true,ml/l/g/kg,Tincture base; hot water extract; alcohol extract; concentrate,Missing if value-added products include tinctures extracts gummies capsules or blends,Use for staged processes where one batch feeds multiple finished goods
FOOD_RAW_MATERIALS,Food raw materials,Raw materials,Raw material,Processing,true,true,true,true,true,false,g/ml,Honey; cacao; sugar; salt; citric acid; glycerin; alcohol; carrier oil,Good class; keep separate from cultivation inputs for supplier approval and food safety controls,Track allergen dietary organic and certificate attributes
FINISHED_VALUE_ADDED_PRODUCTS,Finished value-added products,Finished goods,Finished good,Finished goods,true,true,true,true,false,true,each/bottle/bag,Capsules; tinctures; gummies; seasoning blends; drink mixes,Original value added products class is good; label as finished when ready for sale,Each sellable SKU should link to formula label price and Shopify mapping if applicable
FINISHED_PRODUCT_PACKAGING,Finished product packaging,Packaging,Packaging component,Packaging,true,true,false,true,true,false,each,Bottles; jars; caps; pouches; cartons; desiccants; tamper bands,Good class; separate from cultivation packaging because it touches sellable product presentation and labeling,Use packaging BOMs for finished goods and track supplier lots where food contact applies
PRINTED_LABELS_AND_INSERTS,Printed labels and inserts,Packaging,Printed packaging component,Packaging,true,true,false,true,true,false,each,Product labels; lot stickers; inserts; case labels,Missing from original list; printed materials need revision control and regulatory approval,Link to label revisions and obsolete old versions through change control
SHIPPING_MATERIALS,Shipping materials,Fulfillment supplies,Shipping component,Fulfillment,true,false,false,false,true,false,each,Shippers; mailers; insulated liners; ice packs; tape; void fill,Good class; usually lower QC burden than food-contact packaging,Use in fulfillment BOMs or shipping-cost models if the ERP supports them
SANITATION_AND_CLEANING_SUPPLIES,Sanitation and cleaning supplies,Supplies,Consumable supply,Operations,true,false,true,false,false,false,each/l,Sanitizer; detergent; bleach; isopropyl alcohol; mop heads,Missing from original list; important for purchasing and stockouts but usually not product BOM inventory,Track expiry for chemicals where relevant and store by safety class
QC_TESTING_SUPPLIES,QC and testing supplies,Supplies,Consumable supply,Quality,true,true,true,true,true,false,each/ml,Swabs; test strips; plates; reagents; sample bags,Missing from original list; QC consumables often have expiry and lot controls,Use in QC task costing if useful otherwise inventory-reorder only
MAINTENANCE_SPARES,Maintenance spares and equipment consumables,Supplies,Maintenance supply,Maintenance,true,false,false,false,false,false,each,Filters; gaskets; seals; bulbs; autoclave tape; pump tubing,Missing from original list; these are inventory items but should not be confused with equipment assets,Link to equipment maintenance plans rather than product BOMs
